,keltner,engulf
687,Signal.SELL,Signal.WAIT
688,Signal.SELL,Signal.SELL
689,Signal.SELL,Signal.BUY
690,Signal.SELL,Signal.WAIT
691,Signal.SELL,Signal.WAIT
692,Signal.SELL,Signal.BUY
693,Signal.WAIT,Signal.WAIT
694,Signal.WAIT,Signal.WAIT
695,Signal.WAIT,Signal.SELL
696,Signal.WAIT,Signal.BUY
697,Signal.WAIT,Signal.WAIT
698,Signal.WAIT,Signal.SELL
699,Signal.WAIT,Signal.WAIT
700,Signal.WAIT,Signal.WAIT
701,Signal.WAIT,Signal.WAIT
702,Signal.WAIT,Signal.SELL
703,Signal.WAIT,Signal.BUY
704,Signal.WAIT,Signal.WAIT
705,Signal.SELL,Signal.BUY
706,Signal.WAIT,Signal.WAIT
707,Signal.SELL,Signal.WAIT
708,Signal.SELL,Signal.WAIT
709,Signal.SELL,Signal.WAIT
710,Signal.SELL,Signal.WAIT
711,Signal.SELL,Signal.WAIT
712,Signal.SELL,Signal.WAIT
713,Signal.WAIT,Signal.WAIT
714,Signal.WAIT,Signal.WAIT
715,Signal.WAIT,Signal.SELL
716,Signal.WAIT,Signal.WAIT
717,Signal.WAIT,Signal.WAIT
718,Signal.WAIT,Signal.WAIT
719,Signal.WAIT,Signal.WAIT
720,Signal.WAIT,Signal.WAIT
721,Signal.WAIT,Signal.BUY
722,Signal.WAIT,Signal.WAIT
723,Signal.SELL,Signal.BUY
724,Signal.SELL,Signal.WAIT
725,Signal.SELL,Signal.BUY
726,Signal.SELL,Signal.WAIT
727,Signal.SELL,Signal.WAIT
728,Signal.SELL,Signal.WAIT
729,Signal.SELL,Signal.WAIT
